place_id,category,district,time_slot,hour,day_of_week,month,day,season,is_weekend,is_holiday,weather_condition,crowdlevel,tourist_season,festival_period
8,Nature,Kathmandu,morning,9,4,6,28,Summer,0,0,Cloudy,7.3,Low,No
8,Nature,Kathmandu,afternoon,14,4,6,28,Summer,0,0,Foggy,8.8,Low,No
8,Nature,Kathmandu,evening,18,4,6,28,Summer,0,0,Cloudy,8.3,Low,No
8,Nature,Kathmandu,morning,9,5,6,29,Summer,1,0,Cloudy,12.1,Low,No
8,Nature,Kathmandu,afternoon,14,5,6,29,Summer,1,0,Cloudy,21.1,Low,No
8,Nature,Kathmandu,evening,18,5,6,29,Summer,1,0,Foggy,11.7,Low,No
8,Nature,Kathmandu,morning,9,6,6,30,Summer,1,0,Foggy,10.0,Low,No
8,Nature,Kathmandu,afternoon,14,6,6,30,Summer,1,0,Foggy,15.5,Low,No
8,Nature,Kathmandu,evening,18,6,6,30,Summer,1,0,Rainy,9.2,Low,No
8,Nature,Kathmandu,morning,9,0,7,1,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,afternoon,14,0,7,1,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,evening,18,0,7,1,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,morning,9,1,7,2,Summer,0,0,Foggy,5,Low,No
8,Nature,Kathmandu,afternoon,14,1,7,2,Summer,0,0,Cloudy,7.3,Low,No
8,Nature,Kathmandu,evening,18,1,7,2,Summer,0,0,Foggy,5,Low,No
8,Nature,Kathmandu,morning,9,2,7,3,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,afternoon,14,2,7,3,Summer,0,0,Foggy,6.3,Low,No
8,Nature,Kathmandu,evening,18,2,7,3,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,morning,9,3,7,4,Summer,0,0,Foggy,5,Low,No
8,Nature,Kathmandu,afternoon,14,3,7,4,Summer,0,0,Cloudy,7.9,Low,No
8,Nature,Kathmandu,evening,18,3,7,4,Summer,0,0,Foggy,5,Low,No
8,Nature,Kathmandu,morning,9,4,7,5,Summer,0,0,Cloudy,5,Low,No
8,Nature,Kathmandu,afternoon,14,4,7,5,Summer,0,0,Cloudy,7.5,Low,No
8,Nature,Kathmandu,evening,18,4,7,5,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,morning,9,5,7,6,Summer,1,0,Rainy,5,Low,No
8,Nature,Kathmandu,afternoon,14,5,7,6,Summer,1,0,Foggy,9.7,Low,No
8,Nature,Kathmandu,evening,18,5,7,6,Summer,1,0,Rainy,5.7,Low,No
8,Nature,Kathmandu,morning,9,6,7,7,Summer,1,0,Rainy,5.0,Low,No
8,Nature,Kathmandu,afternoon,14,6,7,7,Summer,1,0,Cloudy,12.6,Low,No
8,Nature,Kathmandu,evening,18,6,7,7,Summer,1,0,Cloudy,10.2,Low,No
8,Nature,Kathmandu,morning,9,0,7,8,Summer,0,0,Foggy,5,Low,No
8,Nature,Kathmandu,afternoon,14,0,7,8,Summer,0,0,Cloudy,8.3,Low,No
8,Nature,Kathmandu,evening,18,0,7,8,Summer,0,0,Cloudy,5.9,Low,No
8,Nature,Kathmandu,morning,9,1,7,9,Summer,0,0,Foggy,5,Low,No
8,Nature,Kathmandu,afternoon,14,1,7,9,Summer,0,0,Cloudy,7.2,Low,No
8,Nature,Kathmandu,evening,18,1,7,9,Summer,0,0,Cloudy,5.5,Low,No
8,Nature,Kathmandu,morning,9,2,7,10,Summer,0,0,Foggy,5,Low,No
8,Nature,Kathmandu,afternoon,14,2,7,10,Summer,0,0,Cloudy,8.0,Low,No
8,Nature,Kathmandu,evening,18,2,7,10,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,morning,9,3,7,11,Summer,0,0,Cloudy,5,Low,No
8,Nature,Kathmandu,afternoon,14,3,7,11,Summer,0,0,Foggy,6.7,Low,No
8,Nature,Kathmandu,evening,18,3,7,11,Summer,0,0,Foggy,5,Low,No
8,Nature,Kathmandu,morning,9,4,7,12,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,afternoon,14,4,7,12,Summer,0,0,Cloudy,6.9,Low,No
8,Nature,Kathmandu,evening,18,4,7,12,Summer,0,0,Cloudy,5.9,Low,No
8,Nature,Kathmandu,morning,9,5,7,13,Summer,1,0,Foggy,6.3,Low,No
8,Nature,Kathmandu,afternoon,14,5,7,13,Summer,1,0,Rainy,7.2,Low,No
8,Nature,Kathmandu,evening,18,5,7,13,Summer,1,0,Rainy,5.4,Low,No
8,Nature,Kathmandu,morning,9,6,7,14,Summer,1,0,Cloudy,8.4,Low,No
8,Nature,Kathmandu,afternoon,14,6,7,14,Summer,1,0,Foggy,9.9,Low,No
8,Nature,Kathmandu,evening,18,6,7,14,Summer,1,0,Cloudy,9.1,Low,No
8,Nature,Kathmandu,morning,9,0,7,15,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,afternoon,14,0,7,15,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,evening,18,0,7,15,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,morning,9,1,7,16,Summer,0,0,Cloudy,5,Low,No
8,Nature,Kathmandu,afternoon,14,1,7,16,Summer,0,0,Cloudy,7.3,Low,No
8,Nature,Kathmandu,evening,18,1,7,16,Summer,0,0,Cloudy,5.2,Low,No
8,Nature,Kathmandu,morning,9,2,7,17,Summer,0,0,Foggy,5,Low,No
8,Nature,Kathmandu,afternoon,14,2,7,17,Summer,0,0,Foggy,5.6,Low,No
8,Nature,Kathmandu,evening,18,2,7,17,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,morning,9,3,7,18,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,afternoon,14,3,7,18,Summer,0,0,Foggy,5.9,Low,No
8,Nature,Kathmandu,evening,18,3,7,18,Summer,0,0,Cloudy,5.7,Low,No
8,Nature,Kathmandu,morning,9,4,7,19,Summer,0,0,Rainy,5,Low,No
8,Nature,Kathmandu,afternoon,14,4,7,19,Summer,0,0,Cloudy,7.4,Low,No
8,Nature,Kathmandu,evening,18,4,7,19,Summer,0,0,Cloudy,5.2,Low,No
8,Nature,Kathmandu,morning,9,5,7,20,Summer,1,0,Foggy,6.1,Low,No
8,Nature,Kathmandu,afternoon,14,5,7,20,Summer,1,0,Foggy,10.2,Low,No
8,Nature,Kathmandu,evening,18,5,7,20,Summer,1,0,Rainy,5.6,Low,No
8,Nature,Kathmandu,morning,9,6,7,21,Summer,1,0,Foggy,6.4,Low,No
8,Nature,Kathmandu,afternoon,14,6,7,21,Summer,1,0,Foggy,11.3,Low,No
8,Nature,Kathmandu,evening,18,6,7,21,Summer,1,0,Foggy,7.6,Low,No
8,Nature,Kathmandu,morning,9,0,7,22,Summer,0,0,Rainy,5,Low,No
